Deal Name,Client,Sector,Stage,Deal Value,Expected Close Date,Probability,Owner,Region,Notes
Adani Solar 500MW Plant Survey & Thermal GIS,Adani Green Energy Ltd,Solar & Renewables,Closed Won,₹75L,2024-08-15,100%,Arjun Mehta,Gujarat / Rajasthan,Thermal thermography for 500MW site. Contract signed.
Tata Power Transmission Line Topography,Tata Power Company,Power / Discom,Closed Won,1.2 Cr,15/07/2024,100%,Priya Sharma,Maharashtra,220kV transmission line LiDAR corridor mapping.
Coal India Open-cast Volumetric Volumetrics,Coal India Limited,Mining,Negotiation,₹95 Lakhs,2024-09-30,75%,Rohan Deshmukh,Jharkhand / Odisha,Final commercials review. Monthly stockpile volumetrics.
NHAI Expressway Corridor As-Built QA,National Highways Authority of India,Highway / Infra,Closed Won,₹55L,2024-06-20,100%,Vikram Singh,Uttar Pradesh,120km expressway right-of-way inspection and orthomosaic.
ReNew Power Wind Turbine Blade Inspection,ReNew Power Pvt Ltd,Renewables / Wind,Proposal Sent,₹40L,2024-10-15,50%,Arjun Mehta,Karnataka,AI blade defect detection on 85 turbines.
Vedanta Zinc Mine Highwall Stability Scan,Vedanta Limited,Mining & Minerals,Closed Won,₹60 Lakhs,2024-08-01,100%,Rohan Deshmukh,Rajasthan,3D geotechnical point cloud for slope stability monitoring.
L&T Metro Rail Track Alignment & CAD,Larsen & Toubro Infra,Infrastructure,Negotiation,₹1.8 Cr,2024-11-20,75%,Vikram Singh,Tamil Nadu,Metro phase II corridor topographic baseline survey.
JSW Steel Slag Yard Stockpile Audit,JSW Steel Ltd,Mining & Heavy Industries,Proposal Sent,₹35L,2024-10-30,50%,Rohan Deshmukh,Karnataka,Quarterly inventory reconciliation via high-res photogrammetry.
NTPC Super Thermal Power Plant Ash Dyke Inspection,NTPC Limited,Power & Utilities,Discovery,₹48L,2024-12-10,25%,Priya Sharma,Madhya Pradesh,Dyke breach risk analysis and bathymetric drone survey.
Azure Power 300MW Solar Farm Commissioning,Azure Power,Solar,Closed Won,$50000,2024-07-28,100%,Arjun Mehta,Rajasthan,USD contract converted for international clean energy investor.
Godrej Agrovet Plantation Canopy Assessment,Godrej Agrovet,Agriculture & Forestry,Lead,₹25L,,10%,Sneha Patel,Andhra Pradesh,Multispectral NDVI health index mapping across 4000 acres.
GAIL Cross-Country Gas Pipeline Encroachment Scan,GAIL (India) Limited,Oil & Gas / Pipeline,Negotiation,₹1.1 Cr,2024-11-15,75%,Vikram Singh,Gujarat / MP,350km pipeline ROW surveillance and thermal leak detection.
BHEL Substation Digital Twin Modeling,Bharat Heavy Electricals Ltd,Power & Utilities,Discovery,₹30L,2025-01-20,25%,Priya Sharma,Delhi NCR,3D mesh and BIM LOD300 model generation.
UltraTech Cement Limestone Quarry 3D Terrain,UltraTech Cement,Mining,Closed Won,₹50 Lakhs,2024-05-15,100%,Rohan Deshmukh,Rajasthan,Automated bench slope measurement and boundary survey.
Smart Cities Mission Surat Drainage Modeling,Surat Municipal Corporation,Urban & GIS,Closed Lost,₹45L,2024-04-10,0%,Sneha Patel,Gujarat,Lost to local low-cost vendor. Accuracy SLA was compromised.
